"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.971708309E-3,3.686833191E-1,8.050558777E0,5.652545471E0
1.026997083E-1,-1.815724182E-1,8.217162323E0,5.830824738E0
2.024287083E-1,-2.486329651E-1,8.140222321E0,5.673352203E0
3.021567083E-1,-3.942800903E-1,8.286019135E0,5.861660614E0
4.018857083E-1,-5.098397827E-1,7.955356750E0,5.870641937E0
5.016137083E-1,-6.653663635E-1,7.977211304E0,6.052962799E0
6.013422917E-1,-7.300318909E-1,7.839647369E0,5.586832123E0
7.010702917E-1,-3.507206726E-1,7.874075775E0,5.399421844E0
8.007992917E-1,-8.207432556E-1,7.865842896E0,6.096671906E0
9.005272917E-1,-9.645941162E-1,7.917635193E0,5.907465363E0
1.000256292E0,1.264869690E-1,8.117020569E0,5.981561279E0
1.099984292E0,-1.398092651E-1,8.029302979E0,5.656736755E0
1.199713292E0,-4.444258118E-1,7.615114288E0,5.271288300E0
1.299441292E0,-1.645079041E-1,7.915689240E0,6.099965057E0
1.399170292E0,-1.023870850E-1,7.956404572E0,5.939947815E0
1.498898292E0,-5.349874878E-1,8.167765045E0,5.516777802E0
1.598627583E0,6.093827820E-1,8.136480103E0,5.981112213E0
1.698356583E0,-9.520202637E-2,7.847131805E0,5.153782654E0
1.798084583E0,-5.119354248E-2,7.774233398E0,5.572911072E0
1.897813583E0,2.565664673E-1,7.725135498E0,5.415288849E0
1.997542583E0,1.384620667E-1,8.204738159E0,6.017336884E0
2.097271583E0,5.761518860E-1,7.988887024E0,5.716312866E0
2.196999583E0,-3.614982605E-1,8.181835785E0,5.820196838E0
2.296728583E0,1.107696533E-2,8.231083374E0,6.231990509E0
2.396457583E0,2.457888794E-1,8.317453766E0,6.353088684E0
2.496186583E0,1.924996948E-1,7.834857330E0,6.373446350E0
2.595914458E0,-3.064128113E-1,7.494465179E0,6.609505463E0
2.695643458E0,1.463955688E-1,7.748486938E0,6.453080750E0
2.795372458E0,-1.146615601E-1,7.801027679E0,6.346801758E0
2.895101458E0,-1.603465576E0,7.261549530E0,5.741610260E0
2.994830458E0,4.870870972E-1,7.500901794E0,6.399941254E0
3.094559458E0,-9.439370728E-1,7.463928680E0,7.179969177E0
3.194287458E0,-8.149053955E-1,7.627837830E0,6.002966766E0
3.294016458E0,2.213896179E-1,7.458240509E0,5.749244385E0
3.393745458E0,9.162446594E-1,7.392227783E0,5.705535278E0
3.493474458E0,7.120692444E-1,7.747738495E0,5.473966827E0
3.593203542E0,-2.034269714E-1,7.652985535E0,5.827830963E0
3.692932542E0,9.744735718E-2,8.185578003E0,5.037624207E0
3.792661542E0,-3.185375977E-1,8.686436462E0,5.247487793E0
3.892390542E0,-3.499722290E-1,8.524922333E0,5.684279480E0
3.992119542E0,-8.915460205E-1,7.685917053E0,4.937482452E0
4.091848542E0,-9.292675781E-1,7.458839264E0,5.760920105E0
4.191577542E0,-5.063969421E-1,7.820337524E0,5.281467133E0
4.291306542E0,2.439926147E-2,8.395740967E0,6.158193970E0
4.391035542E0,-4.486170959E-1,8.403375092E0,5.682483215E0
4.490764542E0,-1.733395386E-1,8.324638824E0,6.143225098E0
4.590492792E0,-1.805245972E-1,8.205486603E0,6.248905334E0
4.690221792E0,6.137237549E-2,7.830815735E0,5.750142517E0
4.789951792E0,-3.893403625E-1,7.845934296E0,6.058800659E0
4.889680792E0,2.092648315E-1,7.895032196E0,5.710624695E0
4.989409792E0,5.478607178E-2,7.957751770E0,5.912704468E0
5.089138792E0,2.160008240E-1,7.961793365E0,6.058052216E0
5.188867792E0,1.561253357E-1,7.661966858E0,5.904621277E0
5.288596792E0,3.285667419E-1,7.709268494E0,5.679489441E0
5.388326792E0,-7.334747314E-2,7.367379456E0,5.439239044E0
5.488055792E0,1.365161133E-1,7.562124481E0,5.725294189E0
5.587784833E0,-1.929487610E-1,7.683072968E0,5.954018555E0
5.687513833E0,4.477189636E-1,7.646698608E0,6.010600891E0
5.787243833E0,-4.050576782E-1,7.515421600E0,5.860163727E0
5.886972833E0,-6.731501770E-1,7.802225189E0,5.895490265E0
5.986701833E0,-6.385720825E-1,8.037535858E0,6.092779999E0
6.086431833E0,-3.098556519E-2,7.991731110E0,6.274951172E0
6.186160833E0,-1.676513672E-1,7.763605499E0,6.187383270E0
6.285889833E0,1.326242065E-1,8.338859253E0,6.391708374E0
6.385619833E0,-1.317260742E-2,7.792794800E0,6.106551361E0
6.485348833E0,-4.836442566E-1,7.632777557E0,6.112239532E0
6.585078917E0,-3.911366272E-1,8.132438507E0,6.257287903E0
6.684807917E0,-3.586541748E-1,8.255033569E0,6.350693665E0
6.784537917E0,-3.876937866E-2,7.587721252E0,6.236181793E0
6.884266917E0,1.594184875E-1,7.468569031E0,5.600453796E0
6.983996917E0,-3.242257690E-1,6.516997833E0,5.432203674E0
7.083725917E0,-3.462300110E-1,7.397915955E0,6.336173859E0
7.183455917E0,-8.906478882E-2,7.999963989E0,6.591842194E0
7.283184917E0,-4.778063965E-1,8.247249756E0,6.651118927E0
7.382914917E0,-2.363584900E-1,8.128097534E0,6.478228455E0
7.482643917E0,9.565109253E-2,7.921078033E0,6.756799164E0
7.582374167E0,-7.616162109E-1,7.466174011E0,6.251000977E0
7.682104167E0,-2.730322266E-1,7.770042114E0,6.702911224E0
7.781833167E0,3.218307495E-2,7.928113403E0,6.400689697E0
7.881563167E0,-1.175056458E-1,8.119565277E0,6.785988464E0
7.981292167E0,-3.359014893E-1,8.052953796E0,6.612050171E0
8.081022167E0,-8.337661743E-1,8.285719757E0,6.997648315E0
8.180751167E0,-3.068618774E-1,7.957751770E0,6.504723358E0
8.280481167E0,-5.379812622E-1,7.878416748E0,6.762786713E0
8.380210167E0,-7.887098694E-1,8.012388153E0,6.522386627E0
8.479940167E0,1.501826935E0,7.674840088E0,6.820865936E0
8.579670042E0,2.980601807E0,9.592801666E0,6.532565460E0
8.679399042E0,4.441264343E-1,7.370522919E0,7.449708252E0
8.779129042E0,7.909552002E-1,8.312064972E0,5.689368896E0
8.878858042E0,4.007167053E-1,7.968379669E0,5.993985443E0
8.978588042E0,-4.469705200E-1,7.964637451E0,5.700146484E0
9.078318042E0,1.558259583E-1,8.046666870E0,5.469027100E0
9.178047042E0,2.451901245E-1,8.460256805E0,5.768703918E0
9.277777042E0,-1.224453735E-1,8.742270355E0,5.778433685E0
9.377506042E0,1.432521057E-1,9.025032349E0,6.308631134E0
9.477236042E0,-3.712280273E-2,8.511749725E0,5.773943024E0
9.576966542E0,3.323089600E-2,8.212971039E0,5.763464813E0
9.676695542E0,1.122665405E-2,8.173602905E0,5.487588501E0
9.776425542E0,3.339555359E-1,8.079448700E0,5.206622772E0
9.876155542E0,1.856140137E-1,8.161029053E0,5.842201080E0
9.975884542E0,-2.221380615E-1,8.082741852E0,5.519023132E0
1.007561454E1,2.125579834E-2,8.338859253E0,5.367837524E0
1.017534454E1,-1.748364258E-1,8.399483185E0,5.387446747E0
1.027507354E1,-5.583389282E-2,8.735833740E0,6.327342224E0
1.037480354E1,-5.565426636E-1,8.550219727E0,6.057453461E0
1.047453354E1,2.540217590E-1,8.319250031E0,5.767207031E0
1.057426183E1,-8.373587036E-1,7.905360718E0,5.259313202E0
1.067399183E1,4.683760071E-1,7.826923828E0,5.535788269E0
1.077372183E1,8.517288208E-2,7.808362427E0,5.488336945E0
1.087345183E1,-6.706054688E-1,7.654931488E0,5.556744690E0
1.097318083E1,1.493893433E-1,8.223149872E0,5.780828705E0
1.107291083E1,2.152523804E-1,8.717122650E0,6.263125763E0
1.117264083E1,-9.954299927E-2,8.635841675E0,5.943839722E0
1.127237083E1,-8.940907288E-1,8.405021667E0,5.612279205E0
1.137210083E1,-2.365081787E-1,8.133935394E0,5.560187531E0
1.147182983E1,-7.185058594E-3,8.121211853E0,5.843099213E0
1.157155958E1,-1.715432739E-1,8.470435638E0,5.090015259E0
1.167128958E1,-1.600172424E-1,8.486152954E0,6.144871674E0
1.177101958E1,-3.716770935E-1,8.529263306E0,6.036646729E0
1.187074958E1,2.748284912E-1,8.569230194E0,5.906267853E0
1.197047958E1,-6.436614990E-2,8.517587585E0,4.913831635E0
1.207020958E1,-2.269281006E-1,8.641080780E0,5.992488556E0
1.216993958E1,-4.300556946E-1,8.609047394E0,5.786666565E0
1.226966858E1,-3.766168213E-1,8.422086182E0,5.747747498E0
1.236939858E1,-4.840933228E-1,8.244255981E0,5.675298157E0
1.246912858E1,-5.141807556E-1,8.326584778E0,5.547014923E0
1.256885917E1,5.598358154E-2,7.522307281E0,5.987099762E0
1.266858917E1,-3.177891541E-1,7.729476471E0,6.294410706E0
1.276831917E1,-6.698570251E-1,7.646848297E0,6.221212921E0
1.286804917E1,3.397933960E-2,7.982450409E0,6.771768036E0
1.296777917E1,-1.881587219E-1,8.132139130E0,6.304589539E0
1.306750917E1,-1.254391479E-1,7.896978149E0,6.846313019E0
1.316723917E1,-4.245172119E-1,7.766000519E0,6.276298370E0
1.326696917E1,-2.627037048E-1,7.260651398E0,5.238057404E0
1.336669917E1,1.469943237E-1,7.197931824E0,6.444398804E0
1.346642917E1,-4.041595459E-3,7.564220123E0,6.272406464E0
1.356615967E1,-6.631210327E-2,7.988138580E0,6.053860931E0
1.366588967E1,-1.528321838E-1,8.275391235E0,6.068380737E0
1.376561967E1,-4.052073669E-1,8.680897980E0,5.754034424E0
1.386534967E1,-3.746708679E-1,8.718619537E0,5.470074921E0
1.396508067E1,-4.138893127E-1,8.773704987E0,5.447022858E0
1.406481067E1,-6.503974915E-1,8.635242920E0,4.762346649E0
1.416454067E1,-6.722520447E-1,8.616382141E0,4.759951630E0
1.426427067E1,-3.483256531E-1,8.682394867E0,4.987478485E0
1.436400067E1,-6.762936401E-1,8.672216034E0,5.479505310E0
1.446373067E1,-9.092092896E-1,8.224347382E0,4.881947937E0
1.456346017E1,-6.182144165E-2,8.380323029E0,5.372178497E0
1.466319017E1,-3.110531616E-1,8.297245789E0,5.336402893E0
1.476292117E1,4.077520752E-1,8.592431946E0,5.251978455E0
1.486265117E1,-3.565585327E-1,8.378676453E0,5.289700012E0
1.496238117E1,-7.241940308E-1,8.484356689E0,5.743855591E0
1.506211117E1,-5.872288513E-1,8.412206726E0,5.187612305E0
1.516184117E1,-3.897894287E-1,8.572972412E0,5.680836639E0
1.526157117E1,-2.947370911E-1,8.438102875E0,5.670957184E0
1.536130217E1,-4.363426208E-1,8.266409912E0,5.726791077E0
1.546103217E1,7.334747314E-2,8.359516296E0,5.515729980E0
1.556076229E1,-5.725593567E-1,7.855813751E0,5.298381958E0
1.566049229E1,-1.601669312E-2,7.920329590E0,5.621709595E0
1.576022329E1,-6.182144165E-2,7.948620758E0,5.655090179E0
1.585995329E1,-1.832189941E-1,8.123457184E0,5.920338593E0
1.595968329E1,-3.430865479E-1,8.283025360E0,5.691314850E0
1.605941329E1,-4.800517273E-1,8.425079956E0,5.973777466E0
1.615914429E1,-2.697390747E-1,7.974666595E0,5.477409668E0
1.625887429E1,2.146536255E-1,7.809859314E0,5.630840607E0
1.635860429E1,-4.670288086E-2,7.954907684E0,6.015690308E0
1.645833429E1,-1.836680603E-1,8.118218079E0,6.201753387E0
1.655806529E1,-7.876620483E-1,7.704628143E0,4.984335022E0
1.665779529E1,1.469943237E-1,7.267986145E0,5.834866333E0
1.675752529E1,1.224453735E-1,8.033045197E0,5.652545471E0
1.685725629E1,-3.858975220E-1,7.736062775E0,4.955894165E0
1.695698629E1,-3.764671326E-1,8.085136871E0,4.984335022E0
1.705671629E1,-4.638853455E-1,8.351433105E0,5.086422729E0
1.715644729E1,-5.089416504E-1,8.075257416E0,5.161416779E0
1.725617729E1,3.603007507E-1,8.400381317E0,5.293292542E0
1.735590729E1,-4.215234375E-1,8.648415527E0,5.105882263E0
1.745563829E1,-1.833686829E-1,8.685089264E0,5.590424652E0
1.755536833E1,-4.999603271E-1,8.595126343E0,5.228627014E0
1.765509933E1,1.496887207E-4,8.444988556E0,5.390290833E0
1.775482933E1,-6.960525513E-2,8.351732483E0,5.671256561E0
1.785455933E1,1.285826111E-1,7.932454376E0,5.089416504E0
1.795429033E1,2.694396973E-2,7.675887909E0,5.030289459E0
1.805402033E1,-2.630030823E-1,7.963889008E0,5.751639404E0
1.815375133E1,-4.472698975E-1,7.935448151E0,5.916446686E0
1.825348133E1,-4.605921936E-1,7.506889343E0,6.069578247E0
1.835321233E1,-1.356179810E-1,7.751181335E0,6.262976074E0
1.845294233E1,-2.821632385E-1,7.809859314E0,6.433770905E0
1.855267242E1,8.786727905E-2,7.421267395E0,5.618117065E0
1.865240342E1,-3.317102051E-1,7.659272461E0,6.108497314E0
1.875213342E1,-3.215313721E-1,7.348518677E0,6.035748596E0
1.885186442E1,-6.885681152E-3,7.320077820E0,5.621110840E0
1.895159442E1,4.019142151E-1,7.389084320E0,6.149512024E0
1.905132542E1,-6.140231323E-1,7.632478180E0,6.244115295E0
1.915105542E1,-3.718267822E-1,7.950716400E0,6.518345032E0
1.925078642E1,-3.863465881E-1,7.746690674E0,6.407874756E0
1.935051642E1,-1.172062683E-1,7.555238800E0,6.064039764E0
1.945024742E1,-2.781216431E-1,7.539671173E0,6.241271210E0
1.954997746E1,-7.563771057E-1,7.616162109E0,6.052663422E0
1.964970846E1,-2.251318359E-1,7.580685883E0,6.013145599E0
1.974943846E1,1.619631958E-1,7.530989227E0,5.889652405E0
1.984916946E1,1.541793823E-2,7.500901794E0,6.166875916E0
1.994889946E1,-4.665797424E-1,7.598798218E0,6.167025604E0
2.004863046E1,-1.800755310E-1,7.637118530E0,6.001619568E0
2.014836046E1,-4.129911804E-1,7.860454102E0,6.110742645E0
2.024809146E1,-3.849993896E-1,8.151748352E0,6.537505188E0
2.034782146E1,-1.627116394E-1,7.954608307E0,5.293442230E0
2.044755246E1,-8.500822449E-1,8.399183807E0,5.402116241E0
2.054728208E1,-6.933581543E-1,8.171058197E0,5.905220032E0
2.064701308E1,-5.351371765E-1,7.548502808E0,5.143304443E0
2.074674308E1,-9.642947388E-1,7.899971924E0,5.671855316E0
2.084647408E1,-4.502636719E-1,7.851921844E0,5.977669373E0
2.094620508E1,-4.724176025E-1,7.843688965E0,5.392386475E0
2.104593508E1,-5.960604858E-1,7.696395264E0,5.281616821E0
2.114566608E1,-5.716612244E-1,7.972870331E0,6.185587006E0
2.124539608E1,-5.107379150E-1,7.866441650E0,6.262676697E0
2.134512708E1,-3.538641357E-1,7.639513550E0,6.115532684E0
2.144485708E1,-4.233197021E-1,7.768096161E0,6.199657745E0
2.154458792E1,-3.785627747E-1,7.724536743E0,6.529421997E0
2.164431892E1,-5.894741821E-1,7.718399506E0,6.475234680E0
2.174404892E1,-3.948788452E-1,7.584128723E0,6.095025330E0
2.184377992E1,5.508544922E-2,7.597900085E0,6.128405914E0
2.194350992E1,-3.254232788E-1,7.427404633E0,5.908213806E0
2.204324092E1,-6.233038330E-1,7.313491516E0,5.847290497E0
2.214297192E1,-3.041674805E-1,7.335346069E0,6.300847321E0
2.224270192E1,-7.598199463E-1,7.197333069E0,6.062093811E0
2.234243292E1,-1.505868530E-1,7.369924164E0,6.566993866E0
2.244216392E1,-1.971400452E-1,6.824458466E0,6.552474060E0
2.254189392E1,1.646575928E-3,6.541995850E0,6.546785889E0
2.264162492E1,7.858657837E-2,6.452781372E0,6.952292633E0
2.274135592E1,2.704875183E-1,6.298452301E0,7.192543030E0
2.284108592E1,-1.248403931E-1,6.344556427E0,6.792125702E0
2.294081692E1,1.182540894E-2,6.776707764E0,6.981332245E0
2.304054792E1,-8.038284302E-2,6.958280182E0,6.791976013E0
2.314027792E1,6.828799438E-1,7.071744232E0,6.982080688E0
2.324000892E1,2.700384521E-1,6.926995239E0,6.788982239E0
2.333973992E1,-2.140548706E-2,7.211254120E0,5.717360687E0
2.343946992E1,-1.333726501E-1,7.185956726E0,5.868695984E0
2.353920092E1,8.861572266E-2,7.389683075E0,6.142027588E0
2.363893271E1,2.151026917E-1,7.139253845E0,5.797444153E0
2.373866271E1,2.245330811E-2,7.197931824E0,5.824238434E0
2.383839371E1,4.210743713E-1,7.466922455E0,6.436016235E0
2.393812471E1,3.787124634E-1,7.771389313E0,6.967111816E0
2.403785471E1,-2.555186462E-1,7.605983276E0,6.427633667E0
2.413758571E1,-2.959346008E-1,7.474107513E0,5.834267578E0
2.423731671E1,-8.791218567E-1,7.907156982E0,6.600075073E0
2.433704671E1,-2.200424194E-1,7.501650238E0,6.245462494E0
2.443677771E1,-1.435514832E-1,6.807693329E0,6.153403931E0
2.453650871E1,9.445358276E-2,6.493347015E0,6.502028961E0
2.463623892E1,6.301895142E-2,6.621480560E0,6.763385468E0
2.473596892E1,3.230282593E-1,6.630012817E0,6.617588654E0
2.483569992E1,2.266287231E-1,7.270231476E0,6.687642975E0
2.493543092E1,3.186872864E-1,7.734715576E0,6.377338257E0
2.503516092E1,2.848576355E-1,7.505392456E0,6.316864014E0
2.513489192E1,2.564167786E-1,7.438481598E0,6.340814209E0
2.523462292E1,5.671705627E-1,7.445516968E0,6.711892548E0
2.533435292E1,5.920188904E-1,7.349865875E0,6.725813599E0
2.543408392E1,4.632865906E-1,7.056176605E0,6.775061188E0
