"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.025970834E-2,-1.393021736E-2,-1.334044151E-3,2.546923980E-2
1.799887083E-1,-2.385852858E-2,1.286326069E-2,8.321495727E-3
2.797167083E-1,-1.163440663E-2,3.213309497E-2,-3.081505420E-3
3.794457084E-1,-1.789433137E-2,3.880272061E-2,-6.755466573E-3
4.791737084E-1,-8.914945647E-3,4.535169154E-2,-1.787366718E-2
5.789012917E-1,4.548132420E-3,2.872504666E-2,5.956031382E-3
6.786302917E-1,-3.998638596E-3,1.051700301E-2,3.537383303E-2
7.783582917E-1,-2.486607525E-3,1.135004964E-2,2.333289012E-2
8.780872917E-1,5.165617913E-3,9.111920372E-3,2.037771419E-2
9.778152917E-1,3.706683172E-3,1.734082401E-2,6.211073138E-3
1.077544292E0,-8.830570616E-3,3.376265988E-3,1.030746009E-2
1.177273292E0,-2.516565286E-2,9.815504309E-4,1.641660742E-2
1.277001292E0,-2.312929183E-2,3.525132313E-3,1.507394109E-2
1.376730292E0,2.453095652E-2,-2.266442869E-3,1.045003906E-2
1.476458292E0,-2.474393928E-3,2.406584565E-3,1.780723780E-2
1.576187583E0,-2.663193643E-2,5.735288840E-3,7.051291410E-3
1.675916583E0,-4.312173650E-2,8.174982853E-3,2.671099966E-3
1.775644583E0,-2.682649344E-2,1.006129570E-2,2.369875554E-3
1.875373583E0,6.303978618E-3,3.002311569E-3,7.728626486E-3
1.975102583E0,1.702829730E-3,-2.020926680E-3,1.513737720E-2
2.074830583E0,2.875783108E-2,-4.387679510E-3,9.562172927E-3
2.174559583E0,-2.080664970E-3,-1.071775984E-2,1.898968033E-2
2.274288583E0,-1.106936391E-2,-5.973346997E-3,1.505440753E-2
2.374017583E0,-5.092861131E-3,-1.149132731E-4,1.121593360E-2
2.473745583E0,1.902894676E-2,-8.499116637E-3,1.100173406E-2
2.573474458E0,2.651184238E-2,-1.292928681E-2,9.148563258E-3
2.673203458E0,5.343695171E-3,-1.664302684E-2,1.359518059E-2
2.772932458E0,1.738892868E-2,1.432574005E-3,-7.028557826E-3
2.872661458E0,-3.861932550E-3,-1.101341471E-2,1.661270857E-2
2.972389458E0,-2.523816749E-2,6.710716058E-3,-9.543549269E-3
3.072118458E0,-5.610974878E-2,1.526001934E-2,-1.910644956E-2
3.171847458E0,-4.429021385E-3,-7.193126250E-3,1.497040037E-2
3.271576458E0,1.975557208E-2,-7.587811444E-3,6.935357116E-3
3.371305458E0,-3.736007027E-3,2.003013156E-3,-5.120974500E-3
3.471034458E0,-6.553656608E-2,-1.760140294E-4,-6.542009767E-3
3.570763542E0,-1.889215782E-2,-1.162970788E-3,-4.213569686E-3
3.670492542E0,6.600201875E-2,1.514028059E-3,-1.012475975E-2
3.770221542E0,1.498580910E-2,9.154109284E-3,-1.171624660E-2
3.869950542E0,-4.271716997E-2,2.504067868E-2,-2.899811603E-2
3.969679542E0,-1.024169251E-1,2.333676443E-2,-1.316640410E-3
4.069408542E0,-4.690082744E-2,8.564466611E-3,1.215320081E-2
4.169137542E0,3.755508363E-2,2.586757531E-3,1.277938578E-2
4.268866542E0,5.024745315E-2,1.406416530E-3,4.771431908E-3
4.368595542E0,2.122655883E-2,-3.635208122E-3,9.891644120E-3
4.468324542E0,-7.396284025E-3,-4.756788258E-4,6.302229129E-3
4.568052792E0,-5.805425346E-3,-2.700581681E-4,2.054827521E-3
4.667781792E0,-1.192301512E-3,5.665609613E-3,-4.217535723E-3
4.767510792E0,2.556038275E-2,-8.066911250E-4,5.770983640E-3
4.867239792E0,7.947090082E-3,-5.404384807E-3,-3.959977534E-3
4.966969792E0,-1.300920174E-2,-3.120517591E-3,-2.638946520E-3
5.066698792E0,1.041425671E-2,-3.639823524E-3,-7.932158769E-4
5.166427792E0,5.593930371E-3,-9.432980791E-3,6.005479954E-3
5.266156792E0,-5.007515196E-3,-5.723512731E-3,-5.585384788E-4
