"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.025970834E-2,-1.915296417E-1,-8.266325712E-2,-2.448042083E-1
1.799887083E-1,1.581691934E-2,2.101354820E-1,2.213726610E-1
2.797167083E-1,1.072284151E-1,3.992478848E-3,2.882735789E-1
3.794457084E-1,-9.019129146E-2,-4.752266049E-2,2.478962159E-1
4.791737084E-1,-2.614271480E-1,4.438504457E-2,2.257200658E-1
5.789012917E-1,-2.226215897E-1,-3.018718636E-1,7.350944102E-2
6.786302917E-1,-1.412483015E-1,-1.344684184E-1,2.206967229E-1
7.783582917E-1,4.192504786E-2,-1.285627306E-1,6.895270586E-1
8.780872917E-1,-3.578324217E-1,-1.601920742E-1,2.292617244E-1
9.778152917E-1,-3.498985541E-1,1.437982357E-1,2.829526126E-2
1.077544292E0,5.606165284E-1,-5.354336303E-1,-1.732149929E-1
1.177273292E0,2.757865940E-1,-3.174394906E-2,-1.761672521E-1
1.277001292E0,1.321682334E-1,-3.670332348E-1,-1.129278606E-1
1.376730292E0,6.342149567E-1,-1.001668972E-1,4.504817730E-1
1.476458292E0,-1.262690140E-1,1.646032137E-1,2.220562005E-1
1.576187583E0,1.411647082E0,1.268810713E-1,4.645308781E-1
1.675916583E0,1.497462427E-1,-4.776356578E-2,-5.441418886E-1
1.775644583E0,1.170604534E-1,-1.158853823E-1,-1.392572880E-2
1.875373583E0,3.018740198E-1,-1.545500958E-1,-2.473571026E-1
1.975102583E0,-2.575185767E-1,-2.595409459E-1,-3.358979809E-1
2.074830583E0,7.781821038E-1,4.096325397E-2,-8.053194702E-2
2.174559583E0,-6.946543358E-2,1.214478385E-1,-2.930273652E-1
2.274288583E0,2.122294430E-1,2.585036498E-1,6.892908311E-1
2.374017583E0,1.041539308E-1,-6.057773888E-2,4.336587489E-1
2.473745583E0,2.572065547E-1,-3.021192008E-1,5.854384339E-1
2.573474458E0,4.233336624E-1,-2.242734647E-1,8.880914855E-1
2.673203458E0,2.247790844E-1,-2.703664809E-1,4.788565564E-1
2.772932458E0,1.864698633E-1,-1.488011134E-1,5.804852575E-1
2.872661458E0,1.014942590E0,-8.908934712E-2,5.936771607E-1
2.972389458E0,1.143927343E-2,-4.219356662E-1,3.702164590E-2
3.072118458E0,-3.150878866E-1,-6.264344323E-1,1.110088044E0
3.171847458E0,4.774302012E-1,-5.889619660E-1,4.292949718E-1
3.271576458E0,-1.960983637E-1,-3.614432967E-1,6.344632441E-1
3.371305458E0,-4.228574798E-2,-4.225063545E-1,-2.408900821E-1
3.471034458E0,9.243194450E-1,-5.635534751E-1,-3.999741089E-1
3.570763542E0,4.540806246E-1,1.226739997E-1,-1.038143903E-1
3.670492542E0,4.556456684E-1,2.397095293E-1,-5.546002185E-1
3.770221542E0,-1.109013436E-1,5.967370087E-1,-7.333782524E-1
3.869950542E0,4.248115461E-2,-1.626110673E-2,-8.083372182E-1
3.969679542E0,-2.574500912E-1,-6.867437840E-2,-8.791048998E-1
4.069408542E0,-2.948111132E-1,-1.019590688E-1,-3.442676854E-1
4.169137542E0,-8.664394652E-1,-1.664170200E-1,-3.689850354E-1
4.268866542E0,1.416735585E-1,1.071660143E-1,-4.727415383E-2
4.368595542E0,-7.057293277E-2,5.277457112E-1,3.379971313E-1
4.468324542E0,3.688489415E-2,2.852388740E-1,2.905259264E-1
4.568052792E0,2.123919773E-1,2.153716636E-1,6.367588609E-1
4.667781792E0,5.163096537E-1,-1.137166500E-1,2.792349529E-1
4.767510792E0,-2.869048736E-1,-4.911134899E-2,2.279250509E-1
4.867239792E0,-9.543556781E-2,1.013322473E-3,1.816174418E-1
4.966969792E0,1.554839327E-1,-6.778852522E-2,1.286013222E-1
5.066698792E0,4.047107191E-1,6.411822796E-2,4.870695555E-1
5.166427792E0,3.742538884E-1,-2.713669395E-1,-4.292441010E-2
5.266156792E0,-3.153791145E-1,-2.867340070E-1,3.111654282E-2
5.365885792E0,1.511793770E-1,-2.594409585E-1,1.563954771E-2
5.465615792E0,2.380749401E-1,-1.723969674E-1,-5.733779669E-3
5.565344833E0,-2.808961286E-1,-4.115878487E-1,-4.057207525E-2
