"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.701609135E-1,4.547888600E1,-7.357734100E1,-1.260000000E1,1.445588889E1,1.411315002E2,3.000000000E1,5.700000000E1
1.245922923E0,4.547877600E1,-7.357722200E1,-1.330000000E1,1.527900000E1,1.413343048E2,3.000000000E1,5.700000000E1
2.247280002E0,4.547866100E1,-7.357709500E1,-1.340000000E1,1.610211111E1,1.413343048E2,3.000000000E1,5.700000000E1
3.228209972E0,4.547854500E1,-7.357696500E1,-1.410000000E1,1.635933333E1,1.418430939E2,3.000000000E1,5.700000000E1
4.237535000E0,4.547842600E1,-7.357683100E1,-1.570000000E1,1.666800000E1,1.416355896E2,3.000000000E1,5.700000000E1
5.224720955E0,4.547830200E1,-7.357669000E1,-1.620000000E1,1.723388889E1,1.411547089E2,3.000000000E1,5.700000000E1
6.207850933E0,4.547817500E1,-7.357654700E1,-1.620000000E1,1.805700000E1,1.411547089E2,3.000000000E1,5.700000000E1
7.203837991E0,4.547804700E1,-7.357640400E1,-1.620000000E1,1.805700000E1,1.411547089E2,3.000000000E1,5.700000000E1
8.202664018E0,4.547791700E1,-7.357626000E1,-1.620000000E1,1.831422222E1,1.416752167E2,3.000000000E1,5.700000000E1
9.188894987E0,4.547779000E1,-7.357611700E1,-1.620000000E1,1.774833333E1,1.413468475E2,3.000000000E1,5.700000000E1
1.019577098E1,4.547766100E1,-7.357597100E1,-1.620000000E1,1.831422222E1,1.413468475E2,5.000000000E1,9.500000000E1
1.119908094E1,4.547753100E1,-7.357582600E1,-1.620000000E1,1.831422222E1,1.415072327E2,5.000000000E1,9.500000000E1
1.218329394E1,4.547739800E1,-7.357567800E1,-1.620000000E1,1.862288889E1,1.415072327E2,5.000000000E1,9.500000000E1
1.318651199E1,4.547726700E1,-7.357553200E1,-1.620000000E1,1.862288889E1,1.419501038E2,5.000000000E1,9.500000000E1
1.427546096E1,4.547712700E1,-7.357537500E1,-1.620000000E1,1.805700000E1,1.416548920E2,5.000000000E1,9.500000000E1
1.527555597E1,4.547700000E1,-7.357523100E1,-1.620000000E1,1.805700000E1,1.409179230E2,5.000000000E1,9.500000000E1
1.625930393E1,4.547687300E1,-7.357508700E1,-1.620000000E1,1.805700000E1,1.409179230E2,5.000000000E1,9.500000000E1
1.726838291E1,4.547675000E1,-7.357494800E1,-1.620000000E1,1.749111111E1,1.411980438E2,5.000000000E1,9.500000000E1
1.824836493E1,4.547662700E1,-7.357480900E1,-1.620000000E1,1.749111111E1,1.410860138E2,5.000000000E1,9.500000000E1
1.924610496E1,4.547651000E1,-7.357467700E1,-1.620000000E1,1.666800000E1,1.410860138E2,5.000000000E1,9.500000000E1
2.024574602E1,4.547640500E1,-7.357453800E1,-2.050000000E1,1.553622222E1,1.410860138E2,5.000000000E1,9.500000000E1
2.124565291E1,4.547630500E1,-7.357440400E1,-1.770000000E1,1.502177778E1,1.416322327E2,1.000000000E1,1.900000000E1
2.224272394E1,4.547620300E1,-7.357429000E1,-1.710000000E1,1.445588889E1,1.416322327E2,1.000000000E1,1.900000000E1
2.324321997E1,4.547610700E1,-7.357418400E1,-1.640000000E1,1.306688889E1,1.416553802E2,1.000000000E1,1.900000000E1
2.420648801E1,4.547602100E1,-7.357409600E1,-1.550000000E1,1.167788889E1,1.445019989E2,1.000000000E1,1.900000000E1
2.522820497E1,4.547593400E1,-7.357401500E1,-1.470000000E1,1.085477778E1,1.451479645E2,1.000000000E1,1.900000000E1
2.622060192E1,4.547585900E1,-7.357394100E1,-1.410000000E1,1.028888889E1,1.451479645E2,1.000000000E1,1.900000000E1
2.721246898E1,4.547578500E1,-7.357387300E1,-1.360000000E1,9.414333333E0,1.548407440E2,1.000000000E1,1.900000000E1
2.820990896E1,4.547572000E1,-7.357382000E1,-1.370000000E1,8.334000000E0,1.548407440E2,3.000000000E1,5.700000000E1
2.920270598E1,4.547565600E1,-7.357377400E1,-1.390000000E1,7.510888889E0,1.548407440E2,3.000000000E1,5.700000000E1
3.019656801E1,4.547560400E1,-7.357373800E1,-1.410000000E1,6.379111111E0,1.526404419E2,3.000000000E1,5.700000000E1
3.120368993E1,4.547556600E1,-7.357371300E1,-1.420000000E1,4.732888889E0,1.459068298E2,3.000000000E1,5.700000000E1
3.219275296E1,4.547554600E1,-7.357369900E1,-1.410000000E1,2.520777778E0,1.459068298E2,3.000000000E1,5.700000000E1
3.318103898E1,4.547553900E1,-7.357369300E1,-1.420000000E1,8.231111111E-1,1.459068298E2,3.000000000E1,5.700000000E1
3.415356398E1,4.547553800E1,-7.357369300E1,-1.440000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
3.517830801E1,4.547553800E1,-7.357369300E1,-1.440000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
3.627370000E1,4.547553800E1,-7.357369300E1,-1.440000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
3.727764797E1,4.547553800E1,-7.357369300E1,-1.440000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
3.827124298E1,4.547553800E1,-7.357369300E1,-1.440000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
3.925982094E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.024882495E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.123709691E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.223761201E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.323647296E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.422565699E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.523542202E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.622052002E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.721905398E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.820996094E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
4.920539296E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.019309294E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.119445193E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.218690991E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.318511891E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.417661798E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.517919099E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.626949596E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.726839292E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.826765192E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
5.926686502E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.024469495E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.124517500E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.221750498E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.323450899E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.423437893E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.523251796E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.622136497E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.721979296E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.820635700E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
