"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.025970834E-2,2.975864410E1,-2.465839386E0,3.073238754E1
1.799887083E-1,2.926345825E1,-9.000701904E-1,3.078946304E1
2.797167083E-1,2.926777649E1,5.586280823E-1,3.098862839E1
3.794457084E-1,2.928991699E1,1.797370911E0,3.161478806E1
4.791737084E-1,2.917887115E1,3.081264496E0,3.200513077E1
5.789012917E-1,2.924703217E1,3.170619965E0,3.215025711E1
6.786302917E-1,2.953875732E1,3.398124695E0,3.248562241E1
7.783582917E-1,2.798085785E1,3.915157318E0,3.358295822E1
8.780872917E-1,2.770153046E1,5.369884491E0,3.337471390E1
9.778152917E-1,2.852466583E1,6.606071472E0,3.432198715E1
1.077544292E0,2.738990784E1,7.195930481E0,2.966809464E1
1.177273292E0,2.895201111E1,3.991512299E0,3.227050400E1
1.277001292E0,2.878500366E1,5.609550476E0,3.344587326E1
1.376730292E0,2.807148743E1,5.273223877E0,3.381786728E1
1.476458292E0,2.731850433E1,5.459621429E0,3.458092117E1
1.576187583E0,2.782624054E1,6.399070740E0,3.417049789E1
1.675916583E0,2.814710999E1,6.661136627E0,3.325600815E1
1.775644583E0,2.859162903E1,1.544139862E0,3.259562302E1
1.875373583E0,2.859407043E1,2.749443054E-1,3.330529404E1
1.975102583E0,2.803455353E1,1.761272430E0,3.360259628E1
2.074830583E0,2.769849396E1,3.021472931E0,3.446376419E1
2.174559583E0,2.645738983E1,6.636341095E0,3.663500595E1
2.274288583E0,2.573474884E1,9.775388718E0,3.766656113E1
2.374017583E0,2.595246124E1,1.348698997E1,3.847232437E1
2.473745583E0,2.558700562E1,1.684110260E1,4.018584061E1
2.573474458E0,2.534481049E1,2.252813721E1,4.190042496E1
2.673203458E0,2.524282074E1,2.298312378E1,4.282320786E1
2.772932458E0,2.499925995E1,2.286835480E1,4.317953873E1
2.872661458E0,2.504387665E1,2.297811127E1,4.353083420E1
2.972389458E0,2.516087341E1,2.418087578E1,4.348730087E1
3.072118458E0,2.617819214E1,2.573435402E1,4.332417679E1
3.171847458E0,2.739832306E1,2.584363556E1,4.319752884E1
3.271576458E0,2.817687225E1,2.514655495E1,4.357065964E1
3.371305458E0,2.883427429E1,2.153775597E1,4.214870834E1
3.471034458E0,3.170407867E1,1.366204643E1,4.144523239E1
3.570763542E0,3.160471344E1,6.565700531E0,3.933520889E1
3.670492542E0,3.214555359E1,-9.709930420E-1,3.631059647E1
3.770221542E0,3.234760284E1,-4.615615845E0,3.258494949E1
3.869950542E0,3.181090546E1,-3.805629730E0,3.295314407E1
3.969679542E0,3.432337952E1,2.603519440E0,3.401519394E1
4.069408542E0,3.380812073E1,6.929698944E0,3.647205734E1
4.169137542E0,3.274704742E1,1.047127342E1,3.743967819E1
4.268866542E0,3.256185150E1,1.333602715E1,3.802112198E1
4.368595542E0,3.304959106E1,1.688612175E1,3.749290085E1
4.468324542E0,3.422714233E1,1.910427475E1,3.956100082E1
4.568052792E0,3.369966888E1,1.912742615E1,4.038354111E1
4.667781792E0,3.279129028E1,1.923045731E1,4.103046799E1
4.767510792E0,3.241986084E1,1.925145531E1,4.022635269E1
